,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
96,6,6,Mafia,7.6,3629,15 Oct 2009,Michael meets with an insurance salesman that visits the office and is later convinced by Dwight and Andy that he is part of the mafia.,8.1,Mike Starr,David Rogers,Brent Forrester,1
97,6,7,The Lover,8.6,3812,22 Oct 2009,"Jim and Pam return from their honeymoon and learn, to their horror, that Michael is dating Pam's mom. Meanwhile, Dwight gives Jim a ""gift""--which actually has a listening device attached to it.",8.52,,Lee Eisenberg,Lee Eisenberg | Gene Stupnitsky,1
98,6,8,Koi Pond,8.1,3448,29 Oct 2009,"Michael is upset when he becomes the butt of all the office jokes after he falls in a koi pond. Andy and Pam go out together on some cold calls, and everybody mistakes them as a married couple.",8.2,,Reginald Hudlin,Warren Lieberstein | Halsted Sullivan,1
99,6,9,Double Date,8.1,3409,5 Nov 2009,"Michael sparks more anger from Pam when he breaks up with her mom on her birthday after he finds out she's 58, and Dwight unsuccessfully tries to get everyone in the office to owe him a favor.",7.94,,Seth Gordon,Charlie Grandy,1
100,6,10,Murder,8.7,4144,12 Nov 2009,"The entire office is preoccupied about rumors of Dunder Mifflin's bankruptcy. Michael tries to create a distraction by engaging everyone in murder-mystery game, but Jim wonders if that is a good idea.",7.76,,Greg Daniels,Daniel Chun,1
101,6,11,Shareholder Meeting,8.2,3445,19 Nov 2009,"Michael speaks out of line at the Dunder Mifflin shareholders meeting and creates a big problem for management, while Jim discovers that nobody in the office thinks he's the ""real"" boss.",7.43,,Charles McDougall,Justin Spitzer,1
102,6,12,Scott's Tots,8.3,3974,3 Dec 2009,"Ten years ago, Michael promised a group of third graders he would pay for their college tuition if they graduated. Now comes time to pay, and he can't do it. At the office, Dwight's employee of the month idea gets Jim in big trouble.",8.1,,B.J. Novak,Gene Stupnitsky | Lee Eisenberg,1
103,6,13,Secret Santa,8.5,3635,10 Dec 2009,"Michael gets upset when Jim promises Phyllis that she can be the office Santa, but the office Christmas party may be overshadowed by some bad news from David Wallace.",8.51,,Randall Einhorn,Mindy Kaling,1
104,6,14,The Banker,6.8,4442,21 Jan 2010,A banker representing a potential buyer comes to the Scranton branch to interview the H.R. department before the sale goes through.,7.29,,Jeffrey Blitz,Jason Kessler,1
105,6,15,Sabre,7.6,3315,4 Feb 2010,"Michael hates the changes that Dunder Mifflin's new owner is implementing, so he turns to David Wallace for advice. Jim and Pam find the perfect day care center, but Jim's mistake threatens to ruin the interview.",7.36,Christian Slater,John Krasinski,Jennifer Celotta,1
106,6,16,Manager and Salesman,8.0,3270,11 Feb 2010,"Sabre's CEO wants the Scranton branch to have one manager, and Michael voluntarily steps down and lets Jim become the boss when he finds out that salespeople make more money. However, he soon comes to regret the decision.",7.4,,Marc Webb,Mindy Kaling,1
107,6,17,The Delivery: Part 1,8.4,3493,4 Mar 2010,"Pam goes into labor and Jim is ready to take her to the hospital, but she refuses to go. Meanwhile, inspired by Pam and Jim's baby, Dwight and Angela try to reach a ""business agreement"" to have a baby of their own.",9.0,,Seth Gordon,Daniel Chun,1
108,6,18,The Delivery: Part 2,8.5,3500,4 Mar 2010,"After the baby is born, Pam has trouble getting the baby to breastfeed. At the office, Michael takes credit for hooking Jim and Pam up, and tries to do the same thing for Kevin and Erin, making Andy jealous.",9.0,Mellisa Rauch,Harold Ramis,Daniel Chun,1
